State,Hospital Type,Emergency Services
NC,Acute Care Hospitals,Yes
NC,Acute Care Hospitals,Yes
NC,Acute Care Hospitals,Yes
NC,Acute Care Hospitals,Yes
NC,Acute Care Hospitals,Yes
NC,Acute Care Hospitals,Yes
NC,Acute Care Hospitals,Yes
NC,Acute Care Hospitals,Yes
NC,Acute Care Hospitals,Yes
NC,Acute Care Hospitals,Yes
NC,Acute Care Hospitals,Yes
NC,Acute Care Hospitals,Yes
NC,Acute Care Hospitals,Yes
NC,Acute Care Hospitals,Yes
NC,Acute Care Hospitals,Yes
NC,Acute Care Hospitals,Yes
NC,Acute Care Hospitals,Yes
NC,Acute Care Hospitals,Yes
NC,Acute Care Hospitals,Yes
NC,Acute Care Hospitals,Yes
NC,Acute Care Hospitals,Yes
NC,Acute Care Hospitals,Yes
NC,Acute Care Hospitals,Not Available
NC,Acute Care Hospitals,Yes
NC,Acute Care Hospitals,Yes
NC,Acute Care Hospitals,Yes
NC,Acute Care Hospitals,Yes
NC,Acute Care Hospitals,Yes
NC,Acute Care Hospitals,No
NC,Acute Care Hospitals,Yes
NC,Acute Care Hospitals,Yes
NC,Acute Care Hospitals,Yes
NC,Acute Care Hospitals,Yes
NC,Acute Care Hospitals,Yes
NC,Acute Care Hospitals,Yes
NC,Acute Care Hospitals,Yes
NC,Acute Care Hospitals,Yes
NC,Acute Care Hospitals,Yes
NC,Acute Care Hospitals,Yes
NC,Acute Care Hospitals,Yes
NC,Acute Care Hospitals,Yes
NC,Acute Care Hospitals,Yes
NC,Acute Care Hospitals,Yes
NC,Acute Care Hospitals,Yes
NC,Acute Care Hospitals,Yes
NC,Acute Care Hospitals,Yes
NC,Acute Care Hospitals,Yes
NC,Acute Care Hospitals,Yes
NC,Acute Care Hospitals,Yes
NC,Acute Care Hospitals,Yes
NC,Acute Care Hospitals,Yes
NC,Acute Care Hospitals,Yes
NC,Acute Care Hospitals,Yes
NC,Acute Care Hospitals,Yes
NC,Acute Care Hospitals,Yes
NC,Acute Care Hospitals,Yes
NC,Acute Care Hospitals,Yes
NC,Acute Care Hospitals,Yes
NC,Acute Care Hospitals,Yes
NC,Acute Care Hospitals,Yes
NC,Acute Care Hospitals,Yes
NC,Acute Care Hospitals,Yes
NC,Acute Care Hospitals,Yes
NC,Acute Care Hospitals,Yes
NC,ACUTE CARE - VETERANS ADMINISTRATION,Yes
NC,Acute Care Hospitals,Yes
NC,Acute Care Hospitals,Yes
NC,Acute Care Hospitals,Yes
NC,Acute Care Hospitals,Yes
NC,ACUTE CARE - VETERANS ADMINISTRATION,Yes
NC,Acute Care Hospitals,Yes
NC,Acute Care Hospitals,Yes
NC,Acute Care Hospitals,Yes
NC,Acute Care Hospitals,Yes
NC,Acute Care Hospitals,Yes
NC,Acute Care Hospitals,Yes
NC,Acute Care Hospitals,No
NC,Acute Care Hospitals,Yes
NC,Acute Care Hospitals,Yes
NC,Acute Care Hospitals,Yes
NC,Acute Care Hospitals,Yes
NC,Acute Care Hospitals,Yes
NC,Acute Care Hospitals,Yes
NC,Acute Care Hospitals,Yes
NC,Acute Care Hospitals,Yes
NC,Acute Care Hospitals,Yes
NC,Acute Care Hospitals,Yes
NC,ACUTE CARE - VETERANS ADMINISTRATION,Yes
