State,Hospital Type,Hospital Name
GA,Acute Care Hospitals,SAINT JOSEPH HOSPITAL
GA,Acute Care Hospitals,FLORIDA HOSPITAL HEARTLAND MEDICAL CENTER
GA,Acute Care Hospitals,CONROE REGIONAL MEDICAL CENTER
GA,Acute Care Hospitals,RIVERSIDE SHORE MEMORIAL HOSPITAL
GA,Acute Care Hospitals,CENTENNIAL MEDICAL CENTER
GA,Acute Care Hospitals,MCDUFFIE REGIONAL MEDICAL CENTER
GA,Acute Care Hospitals,VOLUNTEER COMMUNITY HOSPITAL
PA,Acute Care Hospitals,SAINT JOSEPH HOSPITAL
PA,Acute Care Hospitals,FLORIDA HOSPITAL HEARTLAND MEDICAL CENTER
PA,Acute Care Hospitals,CONROE REGIONAL MEDICAL CENTER
PA,Acute Care Hospitals,RIVERSIDE SHORE MEMORIAL HOSPITAL
PA,Acute Care Hospitals,CENTENNIAL MEDICAL CENTER
PA,Acute Care Hospitals,MCDUFFIE REGIONAL MEDICAL CENTER
PA,Acute Care Hospitals,VOLUNTEER COMMUNITY HOSPITAL
IL,Acute Care Hospitals,SAINT JOSEPH HOSPITAL
IL,Acute Care Hospitals,FLORIDA HOSPITAL HEARTLAND MEDICAL CENTER
IL,Acute Care Hospitals,CONROE REGIONAL MEDICAL CENTER
IL,Acute Care Hospitals,RIVERSIDE SHORE MEMORIAL HOSPITAL
IL,Acute Care Hospitals,CENTENNIAL MEDICAL CENTER
IL,Acute Care Hospitals,MCDUFFIE REGIONAL MEDICAL CENTER
IL,Acute Care Hospitals,VOLUNTEER COMMUNITY HOSPITAL
UT,Acute Care Hospitals,SAINT JOSEPH HOSPITAL
UT,Acute Care Hospitals,FLORIDA HOSPITAL HEARTLAND MEDICAL CENTER
UT,Acute Care Hospitals,CONROE REGIONAL MEDICAL CENTER
UT,Acute Care Hospitals,RIVERSIDE SHORE MEMORIAL HOSPITAL
UT,Acute Care Hospitals,CENTENNIAL MEDICAL CENTER
UT,Acute Care Hospitals,MCDUFFIE REGIONAL MEDICAL CENTER
UT,Acute Care Hospitals,VOLUNTEER COMMUNITY HOSPITAL
KY,Acute Care Hospitals,SAINT JOSEPH HOSPITAL
KY,Acute Care Hospitals,FLORIDA HOSPITAL HEARTLAND MEDICAL CENTER
KY,Acute Care Hospitals,CONROE REGIONAL MEDICAL CENTER
KY,Acute Care Hospitals,RIVERSIDE SHORE MEMORIAL HOSPITAL
KY,Acute Care Hospitals,CENTENNIAL MEDICAL CENTER
KY,Acute Care Hospitals,MCDUFFIE REGIONAL MEDICAL CENTER
KY,Acute Care Hospitals,VOLUNTEER COMMUNITY HOSPITAL
NC,Acute Care Hospitals,SAINT JOSEPH HOSPITAL
NC,Acute Care Hospitals,FLORIDA HOSPITAL HEARTLAND MEDICAL CENTER
NC,Acute Care Hospitals,CONROE REGIONAL MEDICAL CENTER
NC,Acute Care Hospitals,RIVERSIDE SHORE MEMORIAL HOSPITAL
NC,Acute Care Hospitals,CENTENNIAL MEDICAL CENTER
NC,Acute Care Hospitals,MCDUFFIE REGIONAL MEDICAL CENTER
NC,Acute Care Hospitals,VOLUNTEER COMMUNITY HOSPITAL
CA,Acute Care Hospitals,SAINT JOSEPH HOSPITAL
CA,Acute Care Hospitals,FLORIDA HOSPITAL HEARTLAND MEDICAL CENTER
CA,Acute Care Hospitals,CONROE REGIONAL MEDICAL CENTER
CA,Acute Care Hospitals,RIVERSIDE SHORE MEMORIAL HOSPITAL
CA,Acute Care Hospitals,CENTENNIAL MEDICAL CENTER
CA,Acute Care Hospitals,MCDUFFIE REGIONAL MEDICAL CENTER
CA,Acute Care Hospitals,VOLUNTEER COMMUNITY HOSPITAL
IN,Critical Access Hospitals,COLUMBUS COM HSPTL
IN,Critical Access Hospitals,MCKENZIE COUNTY HEALTHCARE SYSTEMS
MS,Critical Access Hospitals,COLUMBUS COM HSPTL
MS,Critical Access Hospitals,MCKENZIE COUNTY HEALTHCARE SYSTEMS
VT,Critical Access Hospitals,COLUMBUS COM HSPTL
VT,Critical Access Hospitals,MCKENZIE COUNTY HEALTHCARE SYSTEMS
